pmid,pubtype,citation_count,percentile_rank_dummy_data,cover_date,category,first_or_last_author,title,publication_name,pages,volume,issue,nlmabbreviation,scopus_doc_id,authors
993305,Journal Article,26,18,1/1/2005,BIOCHEMISTRY & MOLECULAR BIOLOGY,0,Atherosclerotic cardiovascular disease: Current prospectives,Journal of Chronic Diseases,287-301,619,2,J Chronic Dis,17148954,Gotto AM
10484239,Journal Article,26,68,1/1/2005,NEUROSCIENCES,0,Lipid management in patients at moderate risk for coronary heart disease: Insights from the Air Force/Texas coronary atherosclerosis prevention study (AFCAPS/TexCAPS),American Journal of Medicine,1309-23,100,4,Am J Med,344603860,Bradley WA|Rohde MF|Gotto AM|Jackson RL
214072,Journal Article,44,79,11/16/2004,NEUROSCIENCES,0,Release of low density lipoprotein receptors from human fibroblasts or Hela cells by tryptic digestion,Biochemical and Biophysical Research Communications,91-9,21,1,Biochem Biophys Res Commun,18074880,Bhatnagar PK|Mao SJT|Gotto AM|Sparrow JT
10407505,Journal Article,14,2,11/1/2004,PHARMACOLOGY & PHARMACY,1,"Lipoprotein lipase gene mutations, plasma lipid levels, progression/regression of coronary atherosclerosis, response to therapy, and future clinical events: Lipoproteins and Coronary Atherosclerosis Study",Atherosclerosis,105-16,126,1,Atherosclerosis,33016308,Brown SA|Epps DF|Dunn JK|Sharrett AR|Patsch JR|Gotto AM|Patsch W
3523141,Journal Article,256,94,7/18/2004,NEUROSCIENCES,1,Introduction to the plasma lipoproteins.,Methods in enzymology,1979-1982,360,9349,Methods Enzymol,22556084,Gotto AM
17672016,Journal Article,85,88,3/1/2004,NEUROSCIENCES,1,Treatment of HIV-associated dyslipidemia: A role for omega-3 fatty acids,AIDS Reader,230-42,72,1,AIDS Read,34547687746,Hajjar DP|Gotto AM
3891132,Journal Article,46,76,1/17/2004,NEUROSCIENCES,1,"Some reflections on arteriosclerosis: Past, present, and future. Presidential address",Circulation,1791-3,183,4678,Circulation,21807344,Gotto AM|Lux SE|Goodman DS
3659919,Journal Article,84,80,1/1/2004,NEUROSCIENCES,1,Apolipoprotein B-48 is the product of a messenger RNA with an organ-specific in-frame stop codon,Science,912-7,81,7,Science,23617743,Gotto AM|Scott LW|Foreyt JP
8432016,Journal Article,128,89,12/1/2003,NEUROSCIENCES,1,Multicenter evaluation of reflotron� direct dry-chemistry assay of high-density lipoprotein Cholesterol in venous and fingerstick specimens,Clinical Chemistry,2124-8,70,7,Clin Chem,27401175,Insull W|Gotto AM|Wagner EL|Taleno L|Usuki K|Yow C|Knopp RH|Walden C|McGinnis B|Watt C|Poole M|Hanson ML|Kwiterovich P|Georgopoulos A|Weber TG|Shlikas L|Myers D|Coulbourne J|Barrett- Connor EL
786399,Journal Article,50,67,5/14/2003,NEUROSCIENCES,0,Digital imaging fluorescence microscopy: Spatial heterogeneity of photobleaching rate constants in individual cells,Journal of Cell Biology,9618,15,22,J Cell Biol,21956248,Daerr WH|Gianturco SH|Patsch JR|Smith LC|Gotto AM
3131044,Journal Article,78,74,4/15/2003,MULTIDISCIPLINARY SCIENCES,1,Effect of blood collection and processing on radioimmunoassay results for apolipoprotein A-I in plasma,Clinical Chemistry,714-717,351,7,Clin Chem,23883444,Benson DM|Bryan J|Plant AL|Gotto AM|Smith LC
7127718,Journal Article,45,28,4/13/2003,ENDOCRINOLOGY & METABOLISM,1,Occupational screenings: Recruitment from private industry,Circulation,1455-65,28,12,Circulation,20375230,Di Ferrante N|Donnelly PV|Di Ferrante DT|Toma S|Gotto AM
7358735,Journal Article,64,58,1/1/2003,NEUROSCIENCES,1,Characterization of human high density lipoproteins by zonal ultracentrifugation,Journal of Biological Chemistry,1315-20; discussion 1320,114,12,J Biol Chem,18819759,Gotto AM|Moon JE
8199177,Journal Article,60,25,1/1/2003,NEUROSCIENCES,0,Associations of allelic differences at the A-I/C-III/A-IV gene cluster with carotid artery intima-media thickness and plasma lipid transport in hypercholesterolemic-hypertriglyceridemic humans,"Arteriosclerosis, Thrombosis, and Vascular Biology",2M-4M,82,6 SUPPL. 1,Arterioscler Thromb,28179523,Sing K|Ballantyne CM|Ferlic L|Brugada R|Cushman I|Dunn JK|Herd JA|Pownall HJ|Gotto AM|Marian AJ
7401943,Journal Article,6,98,1/1/2003,BIOCHEMISTRY & MOLECULAR BIOLOGY,1,Abnormal suppression of 3-hydroxy-3-methylglutaryl-CoA reductase activity in cultured human fibroblasts by hypertriglyceridemic very low density lipoprotein subclasses,Lipids,"362-4, 367-73",17,7,Lipids,19210138,Brown SA|Via DP|Gotto AM|Bradley WA|Gianturco SH
12493299,Journal Article,6,55,1/1/2003,BIOPHYSICS,0,Tobacco money: Up in smoke? [10] (multiple letters),Lancet,463-70,3,6,,37079333,Gotto AM|Yeshurun D|DeBakey ME
11676951,Journal Article,4,89,12/1/2002,CELL BIOLOGY,1,Emerging perspectives on lipid management: International approaches and global challenges,American Journal of Cardiology,1046-53,80,11,Am J Cardiol,35887168,West MS|Herd JA|Ballantyne CM|Pownall HJ|Simpson S|Gould KL|Gotto AM
9416913,Journal Article,4,90,12/1/2002,ONCOLOGY,1,Cholesterol management in theory and practice,Circulation,12603-8,254,24,Circulation,344015790,Assmann G|Gotto AM
3946461,Journal Article,42,61,9/5/2002,BIOCHEMISTRY & MOLECULAR BIOLOGY,1,Interactions of the major risk factors for coronary heart disease,The American Journal of Medicine,26-33,24 Suppl 1,,Am J Med,22610684,Chen SH|Habib G|Yang CY|Gu ZW|Lee BR|Weng SA|Silberman SR|Cai SJ|Deslypere JP|Rosseneu M|Gotto AM|Li WH|Chan L
9040426,Comparative Study|Journal Article,8,76,5/2011/2002,NEUROSCIENCES,1,The case for aggressive lipid regulation,Hospital Practice,1734-9,35,8,Hosp Pract (1995),1842406023,Gianturco SH|Bradley WA|Gotto AM|Morrisett JD|Peavy DL
13641241,Comparative Study|Journal Article,36,78,3/1/2002,CELL BIOLOGY,0,Hypertriglyceridemic very low density lipoproteins induced triglyceride synthesis and accumulation in mouse peritoneal macrophages,Journal of Clinical Investigation,271-7,39,2,J Clin Invest,19966307,Warnick GR|Boerma GJM|Assmann G|Endler AT|Gerique G|Gotto AM|Graziani MS|Lippi U|Patsch W|Riesen WF|Leary ET|Hiller G|Zerback R|Leinberger R
11927509,Journal Article,52,65,1/1/2002,NEUROSCIENCES,1,Statins: Powerful drugs for lowering cholesterol: Advice for patients,Circulation,139,308,6921,Circulation,37007254,Pownall HJ|Gotto AM|Knapp RD|Massey JB
16265530,Journal Article,20,18,1/1/2002,PHARMACOLOGY & PHARMACY,0,Should patients with combined hyperlipidemia receive statin-fibrate combination therapy?,Nature Clinical Practice Cardiovascular Medicine,1662-6,36,9,Nat Clin Pract Cardiovasc Med,20744448226,Massey JB|Gotto AM|pownall HJ
11953427,Journal Article,73,71,12/1/2001,BIOCHEMISTRY & MOLECULAR BIOLOGY,0,Regulation of peroxisome proliferator-activated receptor-�_-mediated gene expression a new mechanism of action for high density lipoprotein,Journal of Biological Chemistry,G11-G16,57,14,J Biol Chem,37189587,Shepherd J|Patsch JR|Packard CJ|Gotto AM|Taunton OD
207309,Journal Article|Review,104,94,9/15/2001,BIOCHEMISTRY & MOLECULAR BIOLOGY,0,Kinetics of lipid-protein interactions: Interaction of apolipoprotein A-I from human plasma high density lipoproteins with phosphatidylcholines,Biochemistry,12918-21,261,28,Biochemistry,17854716,Collins R|Keech A|Peto R|Sleight P|Kjekshus J|Wilhelmsen I|MacMahon S|Shaw J|Simes J|Braunwald E|Buring J|Hennekens C|Pfeffer M|Sacks F|Probstfield J|Yusuf S|Downs JR|Gotto A|Cobbe S
9118815,Journal Article|Review,8,86,8/1/2001,NEUROSCIENCES,1,Choosing the Right Lipid-Regulating Agent - A Guide to Selection,Drugs,835-7,223,5208,Drugs,29828384,Gotto AM
9412776,Journal Article,8,89,8/1/2001,BIOCHEMISTRY & MOLECULAR BIOLOGY,0,Effects of lipid lowering therapy on progression of coronary and carotid artery disease,Current Opinion in Lipidology,61-76,104,,Curr Opin Lipidol,30809899,Gotto AM|Levy RI|Lux SE
15198960,Journal Article,42,41,6/1/2001,CELL BIOLOGY,1,HDL cholesterol and protective factors in atherosclerosis,Circulation,330-5,257,1,Circulation,2942750054,Craig IF|Via DP|Sherrill BC|Sklar LA|Mantulin WW|Gotto AM|Smith LC
227902,Journal Article,56,28,2/14/2001,MICROBIOLOGY,1,Very low density lipoprotein. Removal of apolipoproteins C-II and C-III-1 during lipolysis in vitro,Journal of Biological Chemistry,1294-301,19,7,J Biol Chem,18611740,Daerr WH|Gianturco SH|Patsch JR|Smith LC|Gotto AM
8974213,Journal Article,56,22,2/14/2001,IMMUNOLOGY,1,"The lipoprotein and coronary atherosclerosis study (LCAS): Design, methods, and baseline data of a trial of fluvastatin in patients without severe hypercholesterolemia",Controlled Clinical Trials,5218-24,248,15,Control Clin Trials,30339960,Ponsin G|Strong K|Gotto AM|Sparrow JT|Pownall HJ
3759943,Journal Article,6,5,6/18/2000,MULTIDISCIPLINARY SCIENCES,0,The complete cDNA and amino acid sequence of human apolipoprotein B-100,Journal of Biological Chemistry,421-30,184,8,J Biol Chem,22915911,Jackson RL|David Taunton O|Segura R|Gallagher JG|Hoff HF|Gotto AM
6439239,Comparative Study|Journal Article,61,25,5/3/2000,CELL BIOLOGY,1,In vitro binding of synthetic acylated lipid-associating peptides to high-density lipoproteins: Effect of hydrophobicity,Biochemistry,926-30,18,4,Biochemistry,21750396,Shepherd J|Packard CJ|Grundy SM|Yeshurun D|Gotto AM|Taunton OD
17387129,Journal Article,20,28,3/14/2000,BIOCHEMISTRY & MOLECULAR BIOLOGY,1,Does torcetrapib reduce the progression of atherosclerotic disease? Commentary,Nature Clinical Practice Cardiovascular Medicine,928-35,81,3,Nat Clin Pract Cardiovasc Med,34548274084,De Loof H|Rosseneu M|Yang CY|Li WH|Gotto AM|Chan L
10636252,Journal Article,20,99,3/14/2000,NEUROSCIENCES,1,The evolving role of statins in the management of atherosclerosis,Journal of the American College of Cardiology,343-9,4,3,J Am Coll Cardiol,33984125,Kornberg HL|Gotto AM
1468089,Journal Article,8,78,3/6/2000,CARDIAC & CARDIOVASCULAR SYSTEMS,0,Comparative effects of simvastatin and lovastatin in patients with hypercholesterolemia,Clinical Therapeutics,443A-468A,4,4,Clin Ther,26540161,Yang CY|Gu ZW|Weng SA|Kim TW|Chen SH|Pownall HJ|Sharp PM|Liu SW|Li WH|Gotto AM|Chan L
10858488,Journal Article,8,67,3/6/2000,PHARMACOLOGY & PHARMACY,0,Insights on treating an over-the-counter-type subgroup: Data from the Air Force/Texas Coronary Atherosclerosis Prevention Study population,American Journal of Cardiology,1851-61,360,18,Am J Cardiol,343729911,Gotto AM
8429259,Journal Article,88,89,1/1/1989,SURGERY,1,Role of thyroid hormone in the expression of apolipoprotein A-IV and C- III genes in rat liver,Journal of Lipid Research,10815-9,256,21,J Lipid Res,27405926,Via DP|Massey JB|Vignale S|Kundu SK|Marcus DM|Pownall HJ|Gotto AM
5799024,Journal Article,74,61,1/1/1989,PHYSIOLOGY,1,Human serum beta lipoprotein and beta apoprotein,Nature,758-65,74,4,Nature,14688671,Turturro F|Heibig J|Chan L|Gotto AM|Ghiselli GC
2208707,Journal Article,55,76,1/1/1989,MULTIDISCIPLINARY SCIENCES,1,Effect of blood collection and processing on radioimmunoassay results for apolipoprotein B in plasma,Clinical Chemistry,920-4,34,5,Clin Chem,25047345,Han J|Hajjar DP|Tauras JM|Feng J|Gotto AM|Nicholson AC
5046816,Journal Article,33,58,1/1/1989,BIOCHEMISTRY & MOLECULAR BIOLOGY,0,Circular dichroic studies of human plasma retinol-binding protein and prealbumin,BBA - Protein Structure,677-81,29,11,Biochim Biophys Acta,15518491,Gotto AM
7260933,Journal Article,33,98,1/1/1989,CELL BIOLOGY,1,Diet and health,Western Journal of Medicine,550-83,17,6,West J Med,21738668,Gotto AM
206641,Journal Article,39,78,1/1/1989,CARDIAC & CARDIOVASCULAR SYSTEMS,1,Dynamic properties of human high density lipoprotein apoproteins,Journal of Lipid Research,1689,304,6843,J Lipid Res,17840802,Gotto AM|Assmann G|Paoletti R
8298413,Journal Article,39,18,1/1/1989,PERIPHERAL VASCULAR DISEASE,1,No deception in symposium supplement [33],British Medical Journal,369-82,133,2,,28096201,Brown SA|Rhodes CE|Dunn K|Gotto AM|Patsch W
9766341,Journal Article,0,0,1/1/1989,"MEDICINE, GENERAL & INTERNAL",1,Assessing the benefits of lipid-lowering therapy,American Journal of Cardiology,3178-85,255,7,Am J Cardiol,32563784,Jackson RL|Morrisett JD|Pownall HJ|Gotto AM
1832699,Journal Article,39,76,1/1/1989,HEMATOLOGY,0,Lipoprotein(a) and apolipoprotein changes after cardiac transplantation,Journal of the American College of Cardiology,718-25,99,5,J Am Coll Cardiol,25938764,Sklar LA|Doody MC|Gotto AM|Pownall HJ
4307033,Letter,44,55,1/1/1989,"MEDICINE, GENERAL & INTERNAL",1,Chemical synthesis and biochemical properties of peptide fragments of apolipoprotein alanine,Proceedings of the National Academy of Sciences of the United States of America,245-53,53,2,Proc Natl Acad Sci U S A,15885294,Jensen RG|Clark RM|Gerrior SA|Fey MB|Gotto AM
10362217,Journal Article,74,79,1/1/1989,CELL BIOLOGY,1,Lipid-lowering therapy for the primary prevention of coronary heart disease,Journal of the American College of Cardiology,456-63,35,1,J Am Coll Cardiol,344614497,Roberts WC|Gotto AM|Guyton J|Larosa J|Viggiani R
8198024,Journal Article,0,0,12/1/1988,CELL BIOLOGY,1,Baseline characteristics of subjects in the lipoprotein and coronary atherosclerosis study (LCAS) with fluvastatin,The American Journal of Cardiology,42D-49D,73,14,Am J Cardiol,28225252,Gotto AM
15557368,Comparative Study|Journal Article,78,75,12/1/1988,MULTIDISCIPLINARY SCIENCES,1,Functional interplay between the macrophage scavenger receptor class B type I and pitavastatin (NK-104),Circulation,284-5,2,6,Circulation,10044279170,Farmer JA|Ballantyne CM|Frazier OH|Radovancevic B|Payton-Ross C|Patsch W|Morrisett JD|Gotto AM|Young JB
374453,Journal Article,0,0,12/1/1988,DEVELOPMENTAL BIOLOGY,1,Is atherosclerosis reversible?,Journal of the American Dietetic Association,3472-9,110,22,J Am Diet Assoc,18471371,Pownall HJ|Pao Q|Rohde M|Gotto AM
9531248,Journal Article,76,71,1/1/1988,NEUROSCIENCES,1,Triglyceride: The forgotten risk factor,Circulation,69-86,21,3,Circulation,32562259,Barter PJ|Rye KA|Gotto AM
17317380,Journal Article,38,45,1/1/1988,PHYSIOLOGY,0,Role of C-Reactive Protein in Coronary Risk Reduction: Focus on Primary Prevention,American Journal of Cardiology,9559-61,254,19,Am J Cardiol,33847055082,Ballantyne CM|Herd JA|Dunn JK|Jones PH|Farmer JA|Gotto AM
5903741,Journal Article,38,86,1/1/1988,CELL BIOLOGY,1,A comparative study of the effects of chemical modification on the immunochemical and optical properties of human plasma low density lipoprotein(s) and apoproteins,Biochemical Journal,202-8,139,1,Biochem J,15694687,Gotto AM
7454134,Journal Article,16,5,1/1/1988,MULTIDISCIPLINARY SCIENCES,1,Effects of HDL subclasses on 3-hydroxy-3-methylglutaryl coenzyme A reductase in human fibroblasts.,Nutrition and metabolism,874-83,14,6,Nutr Metab,19249465,Gotto AM
3521247,Journal Article|Review,47,41,1/1/1988,NEUROSCIENCES,1,Treatment of hyperlipidemia,The American Journal of Cardiology,96-108,9,1,,22480204,Sparrow JT|Gotto AM
6776110,Journal Article,22,99,1/1/1988,BIOCHEMISTRY & MOLECULAR BIOLOGY,0,Dynamics of lipid-protein interactions. Interaction of apolipoprotein A-II from human plasma high density lipoproteins with dimyristoylphosphatidylcholine,Journal of Biological Chemistry,1514-6,105,13,J Biol Chem,19163955,Hoff HF|Heideman CL|Gaubatz JW|Scott DW|Gotto AM
17805798,Letter,17,67,12/1/1987,"MEDICINE, GENERAL & INTERNAL",1,Preparation and properties of an apoprotein derivative of human serum �_-lipoprotein,Lipids,342S-346S,3,12 II SUPPL.,Lipids,51649188062,Vaughan CJ|Gotto AM|Basson CT
7354257,Journal Article,5,28,12/1/1987,PHARMACOLOGY & PHARMACY,1,Effects of saturated and polyunsaturated fat diets on the chemical composition and metabolism of low density lipoproteins in man,Journal of Lipid Research,23582-6,277,26,J Lipid Res,18858731,Dahlen GH|Guyton JR|Attar M|Farmer JA|Kautz JA|Gotto AM
9766340,Journal Article,5,25,12/1/1987,CARDIAC & CARDIOVASCULAR SYSTEMS,1,The Lipoprotein and Coronary Atherosclerosis Study (LCAS) in context: assessing the benefits of lipid-lowering therapy. Introduction.,The American journal of cardiology,2019-27,31,11,Am J Cardiol,32563783,Gianturco SH|Packard CJ|Shepherd J|Smith LC|Catapano AL|Sybers HD|Gotto AM
4066689,Journal Article,614,99,12/19/1986,MULTIDISCIPLINARY SCIENCES,0,Origin of apolipoprotein A-I polymorphism in plasma,Journal of Biological Chemistry,10167-73,255,21,J Biol Chem,22341004,Gotto AM|Doody MC
2107043,Journal Article,58,58,12/1/1986,MULTIDISCIPLINARY SCIENCES,1,Accuracy and precision of analyses for total cholesterol as measured with the Reflotron cholesterol method,Clinical Chemistry,691-4,14,7,Clin Chem,24323681,Gotto AM
12425301,Journal Article,52,78,12/1/1986,CELL BIOLOGY,0,Three-dimensional structure of low density lipoproteins by electron cryomicroscopy,Proceedings of the National Academy of Sciences of the United States of America,1M,82,5 SUPPL. 1,Proc Natl Acad Sci U S A,33587694,Gotto AM
8879439,Journal Article,157,98,12/1/1986,MULTIDISCIPLINARY SCIENCES,1,Effects of gemfibrozil on very-low-density lipoprotein composition and low-density lipoprotein size in patients with hypertriglyceridemia or combined hyperlipidemia,Atherosclerosis,2078-82,33,7,Atherosclerosis,30603999,Van Der Harst P|Voors AA|Van Veldhuisen DJ|Miller M|Gotto AM|Paradis JM|LeLorier J|Auer J|Weber T|Eber B|Cannon CP|Braunwald E
