pmid,pubtype,citation_count,percentile_rank_dummy_data,cover_date,category,first_or_last_author_dummy_data
16445611,"Clinical Trial, Phase I|Clinical Trial, Phase II|Comparative Study|Journal Article",5,7,1/1/2006,OBSTETRICS & GYNECOLOGY,1
21937232,"Clinical Trial, Phase III|Journal Article",7,9,2/1/2012,OBSTETRICS & GYNECOLOGY,1
17319857,Journal Article,9,8,3/1/2007,OBSTETRICS & GYNECOLOGY,0
7703927,Journal Article,0,0,1/1/1994,ONCOLOGY,0
11571721,Case Reports|Journal Article,0,0,4/10/2013,ONCOLOGY,1
23774991,Comparative Study|Journal Article,0,0,6/1/2013,ONCOLOGY,0
10655437,"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article",0,0,10/1/2013,ONCOLOGY,1
24472478,Journal Article|Multicenter Study|Randomized Controlled Trial,1,4,10/1/2013,ONCOLOGY,0
16821602,Case Reports|Journal Article,2,2,5/1/2006,ONCOLOGY,0
22658378,"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial",2,4,1/1/2012,ONCOLOGY,0
24682463,"Clinical Trial, Phase II|Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial",2,1,1/1/2014,ONCOLOGY,1
17563739,Journal Article|Multicenter Study|Randomized Controlled Trial,3,3,8/1/2007,ONCOLOGY,0
11350914,"Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial",3,7,7/1/2013,ONCOLOGY,0
7552818,Journal Article|Review,4,3,1/1/1995,ONCOLOGY,0
16044139,Clinical Trial|Journal Article,4,6,9/1/2005,ONCOLOGY,0
19158037,Journal Article|Review,4,6,1/1/2008,ONCOLOGY,1
7640062,Journal Article,5,3,7/4/1995,ONCOLOGY,1
16445611,"Clinical Trial, Phase I|Clinical Trial, Phase II|Comparative Study|Journal Article",5,8,1/1/2006,ONCOLOGY,1
10964334,"Clinical Trial, Phase I|Journal Article",5,8,3/31/2010,ONCOLOGY,1
18410796,Journal Article|Review,6,9,4/1/2008,ONCOLOGY,0
7912516,Journal Article,6,9,11/1/2012,ONCOLOGY,1
10619499,"Clinical Trial|Clinical Trial, Phase I|Journal Article",7,4,12/21/1999,ONCOLOGY,0
21937232,"Clinical Trial, Phase III|Journal Article",7,8,2/1/2012,ONCOLOGY,0
9198237,"Clinical Trial, Phase II|Journal Article",7,5,6/1/2013,ONCOLOGY,1
23403636,"Clinical Trial, Phase I|Journal Article",8,10,4/1/2013,ONCOLOGY,0
12189532,"Clinical Trial|Clinical Trial, Phase II|Journal Article",9,9,8/1/2002,ONCOLOGY,1
17319857,Journal Article,9,14,3/1/2007,ONCOLOGY,1
22160642,"Clinical Trial, Phase II|Journal Article",9,5,2/1/2012,ONCOLOGY,1
9047258,Journal Article|Review,10,9,2/1/1997,ONCOLOGY,1
17972174,Case Reports|Journal Article,10,23,12/1/2007,ONCOLOGY,1
7515513,Journal Article|Review,11,26,1/1/1994,ONCOLOGY,0
10586344,Case Reports|Journal Article,11,10,11/24/1999,ONCOLOGY,1
12548594,"Clinical Trial|Clinical Trial, Phase II|Journal Article",11,10,2/1/2003,ONCOLOGY,1
18472615,Journal Article|Review,11,10,4/15/2008,ONCOLOGY,1
20697802,"Clinical Trial, Phase II|Journal Article|Multicenter Study",11,10,10/1/2010,ONCOLOGY,1
12200680,Journal Article,12,10,9/1/2002,ONCOLOGY,1
21859830,Journal Article|Review,12,13,11/1/2011,ONCOLOGY,0
11221961,"Clinical Trial|Clinical Trial, Phase II|Journal Article",15,14,7/31/2001,ONCOLOGY,0
9818693,Journal Article,16,13,11/5/1998,ONCOLOGY,1
23328481,Journal Article,17,15,1/14/2013,ONCOLOGY,0
9815921,Journal Article,18,16,11/1/1995,ONCOLOGY,1
20966181,Journal Article|Review,20,17,5/5/2011,ONCOLOGY,1
9676843,"Clinical Trial|Clinical Trial, Phase I|Journal Article",22,13,7/1/1998,ONCOLOGY,1
10826311,"Clinical Trial, Phase II|Journal Article",22,13,4/7/2009,ONCOLOGY,1
15945506,Comparative Study|Journal Article,23,15,6/15/2005,ONCOLOGY,1
16769983,"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article",29,16,7/1/2006,ONCOLOGY,1
12829668,"Clinical Trial, Phase II|Journal Article",29,17,4/15/2009,ONCOLOGY,0
18378531,Journal Article|Review,30,16,3/1/2008,ONCOLOGY,1
22282653,Journal Article,42,13,3/15/2012,ONCOLOGY,0
16476708,Comment|Letter,44,17,8/20/2006,ONCOLOGY,1
7684770,Journal Article,45,43,12/1/1993,ONCOLOGY,0
20454927,"Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial",45,45,7/1/2010,ONCOLOGY,0
18086794,Journal Article,48,46,1/10/2008,ONCOLOGY,0
18650153,"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article",48,47,1/1/2008,ONCOLOGY,1
15997923,Clinical Trial|Journal Article,52,30,6/1/2005,ONCOLOGY,1
20299316,"Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial",62,30,4/1/2010,ONCOLOGY,1
22024162,Journal Article|Review,62,64,10/1/2012,ONCOLOGY,1
18541897,Journal Article,64,61,2/10/2009,ONCOLOGY,0
19901123,Journal Article|Review,64,65,12/10/2009,ONCOLOGY,1
16326753,Journal Article,66,66,1/1/2006,ONCOLOGY,0
18043899,Journal Article,67,63,1/1/2008,ONCOLOGY,1
15258838,Journal Article|Review,70,63,9/1/2004,ONCOLOGY,1
17158528,Journal Article,75,66,1/1/2007,ONCOLOGY,1
17785568,Journal Article,77,67,9/1/2007,ONCOLOGY,1
18067118,Journal Article|Review,77,65,8/1/2009,ONCOLOGY,1
20679609,"Clinical Trial, Phase II|Journal Article|Multicenter Study",81,66,9/1/2010,ONCOLOGY,1
19349550,"Clinical Trial, Phase II|Journal Article|Multicenter Study",101,63,6/20/2009,ONCOLOGY,1
11350883,Clinical Trial|Journal Article,102,67,8/15/2001,ONCOLOGY,1
14585260,Journal Article|Review,120,93,12/1/2003,ONCOLOGY,1
17606972,"Clinical Trial, Phase II|Journal Article",175,95,8/10/2007,ONCOLOGY,1
9440739,"Clinical Trial|Clinical Trial, Phase I|Journal Article",184,97,1/1/1998,ONCOLOGY,0
17606975,"Clinical Trial, Phase II|Journal Article",216,98,8/10/2007,ONCOLOGY,1
17606974,"Clinical Trial, Phase II|Journal Article",246,99,8/10/2007,ONCOLOGY,1
11352967,Clinical Trial|Journal Article|Randomized Controlled Trial,279,99,5/15/2001,ONCOLOGY,1
18445853,"Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial",362,99,11/20/2007,ONCOLOGY,0
10605625,Journal Article,15,11,7/17/2009,PERIPHERAL VASCULAR DISEASE,0
20450446,Journal Article|Review,9,20,6/1/2010,PHARMACOLOGY & PHARMACY,1
11221961,"Clinical Trial|Clinical Trial, Phase II|Journal Article",15,13,7/31/2001,PHARMACOLOGY & PHARMACY,0
22109386,Journal Article,3,6,8/1/2012,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0
10919738,Journal Article,6,8,10/1/2012,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0
7912516,Journal Article,6,6,11/1/2012,REHABILITATION,1
15258838,Journal Article|Review,70,65,9/1/2004,REHABILITATION,1
9047258,Journal Article|Review,10,20,2/1/1997,SURGERY,1
7703927,Journal Article,0,0,1/1/1994,TRANSPLANTATION,1
17563739,Journal Article|Multicenter Study|Randomized Controlled Trial,3,3,8/1/2007,TRANSPLANTATION,0
16044139,Clinical Trial|Journal Article,4,7,9/1/2005,TRANSPLANTATION,1
12189532,"Clinical Trial|Clinical Trial, Phase II|Journal Article",9,9,8/1/2002,TRANSPLANTATION,0
9818693,Journal Article,16,13,11/5/1998,TRANSPLANTATION,1
