pmid,pubtype,citation_count,percentile_rank_dummy_data,cover_date,category,first_or_last_author_dummy_data,title,publication_name,pages,volume,issue,nlmabbreviation,scopus_doc_id,authors
193554,Journal Article,42,13,3/15/2012,ONCOLOGY,0,Physical properties of the dimyristoylphosphatidylcholine vesicle and of complexes formed by its interaction with apolipoprotein C-III,Biochemistry,2151-6,16,10,Biochemistry,17392547,Ornish D|Scherwitz LW|Doody RS|Kesten D|McLanahan SM|Brown SE|DePuey E|Sonnemaker R|Haynes C|Lester J|McAllister GK|Hall RJ|Burdine JA|Gotto AM
9555684,Journal Article|Review,11,10,2/1/2012,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,0,Preventing coronary disease in women: Brief observations from the clinical data,Journal of Women's Health,195-7,7,2,J Womens Health,7144254431,Massey JB|She HS|Gotto AM|Pownall HJ
6784756,Journal Article|Review,11,10,2/1/2012,"MEDICINE, RESEARCH & EXPERIMENTAL",1,Mechanism of lipid-protein interaction in the plasma lipoproteins: Identification of a lipid-binding site in apolipoprotein A-II,Biochemistry,1676-80,20,6,Biochemistry,19883203,Ballantyne CM|Jones PH|Payton-Ross C|Patsch W|Short HD|Noon GP|Gotto AM|DeBakey ME|Young JB
7910524,"Clinical Trial, Phase III|Journal Article",7,9,2/1/2012,OBSTETRICS & GYNECOLOGY,1,The Second International Conference on Lipoprotein[a]: Preface,Chemistry and Physics of Lipids,55-99,67-68,,,28118386,Erhardt LR|Gotto A
4355540,"Clinical Trial, Phase III|Journal Article",7,8,2/1/2012,ONCOLOGY,0,Isolation and characterization of the cyanogen bromide fragments from the high-density apolipoprotein glutamine I,Biochemistry,3866-71,12,20,Biochemistry,15817097,Yang CY|Gu ZW|Blanco-Vaca F|Gaskell SJ|Yang M|Massey JB|Gotto AM|Pownall HJ
10612714,"Clinical Trial, Phase II|Journal Article",9,5,2/1/2012,ONCOLOGY,1,"Hydrolysis of phospholipids by purified milk lipoprotein lipase. Effect of apoprotein CII, CIII, A and E, and synthetic fragments",Clinica Chimica Acta,19-33,291,1,Clin Chim Acta,33987037,Orekhov AN|Tertov VV|Sobenin IA|Smirnov VN|Via DP|Guevara J|Gotto AM|Morrisett JD
204426,"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial",2,4,1/1/12,ONCOLOGY,0,The role of dietary polyunsaturated fat in lowering blood cholesterol in man,Circulation Research,447-53,42,4,Circ Res,18130832,M Gotto Jr A
7775860,Journal Article|Review,12,13,11/1/2011,ONCOLOGY,0,Plasma lipid transport in the hedgehog: Partial characterization of structure and function of apolipoprotein A-I,Journal of Lipid Research,485-95,36,3,J Lipid Res,28901403,Clearfield M|Whitney EJ|Weis S|Downs JR|Shapiro DR|Stein EA|Watson DJ|Langend̦rfer A|Beere PA|Stamler J|Gotto AM
3525528,Journal Article|Review,20,17,5/5/2011,ONCOLOGY,1,Effects of insulin on lipoprotein secretion in rat hepatocyte cultures. The role of the insulin receptor,Journal of Biological Chemistry,9603-6,261,21,J Biol Chem,22972358,Gotto AM
11256844,Journal Article,79,66,3/23/2011,CELL BIOLOGY,0,Statin therapy: Where are we? where do we go next?,American Journal of Cardiology,13B-18B,87,5 SUPPL. 1,Am J Cardiol,35825945,Craig IF|Via DP|Mantulin WW|Pownall HJ|Gotto AM|Smith LC
4359115,Journal Article,79,67,3/23/2011,"MEDICINE, RESEARCH & EXPERIMENTAL",1,Type V hyperlipoproteinaemia,Clinics in Endocrinology and Metabolism,343-665,2,1,Clin Endocrinol Metab,15599328,Reeves RS|Foreyt JP|Scott LW|Mitchell RE|Wohlleb J|Gotto AM
6833875,"Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial",182,96,3/12/2011,"MEDICINE, GENERAL & INTERNAL",1,Effect of cholesterol feeding on the distribution of plasma lipoproteins and on the metabolism of apolipoprotein E in the rabbit,Journal of Lipid Research,333-777,24,1,J Lipid Res,20699656,Gotto AM|Vertes V|Jackson D
218625,"Clinical Trial, Phase II|Journal Article|Multicenter Study",11,10,10/1/2010,ONCOLOGY,1,Apolipoprotein A-II: Chemical synthesis and biophysical properties of three peptides corresponding to fragments in the ammo-terminal half,Biochemistry,234-41,18,8,Biochemistry,18794362,Farmer JA|Gotto AM
12801602,"Clinical Trial, Phase II|Journal Article|Multicenter Study",81,66,9/1/2010,ONCOLOGY,1,High density lipoproteins (HDLs) and atherosclerosis; the unanswered questions,Atherosclerosis,195-211,168,2,Atherosclerosis,38173268,Shepherd J|Packard CJ|Gotto AM|Taunton OD
975155,"Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial",45,45,7/1/2010,ONCOLOGY,0,Introduction to the volume on dedication of the national heart and blood vessel research and demonstration center,Cardiovascular Research Center Bulletin,234p-354,15,1,Cardiovasc Res Cent Bull,17193213,Mowri HO|Patsch W|Smith LC|Gotto AM|Patsch JR
46150,Journal Article|Review,9,20,6/1/2010,PHARMACOLOGY & PHARMACY,1,Postprandial lipemia. A key for the conversion of high density lipoprotein2 into high density lipoprotein3 by hepatic lipase,Journal of Clinical Investigation,2017-23,74,6,J Clin Invest,21676332,Ravnskov U|Kessler G|Stamler J|Stamler R|Brown WV|Gotto AM|Greenland P|Grundy S|Hegsted DM|Luepker RV|Neaton JD|Steinberg D|Stone N|Van Horn L|Wissler RW
8462181,Journal Article,10,25,5/1/2010,INTEGRATIVE & COMPLEMENTARY MEDICINE,1,Dyslipidemia and atherosclerosis: A forecast of pharmaceutical approaches,Circulation,423-5,87,4 SUPPL.,Circulation,4243371928,Hoff HF|Bradley WA|Heideman CL|Gaubatz JW|Karagas MD|Gotto AM
16450792,"Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial",62,30,4/1/2010,ONCOLOGY,1,The benefits of statin therapy - What questions remain?,Clinical Cardiology,499-503,28,11,Clin Cardiol,27744550416,Gotto AM
14907713,"Clinical Trial, Phase I|Journal Article",5,8,3/31/2010,ONCOLOGY,1,Control of 3-hydroxy-3-methylglutaryl-CoA reductase activity in cultured human fibroblasts by very low density lipoproteins of subjects with hypertriglyceridemia,Journal of Clinical Investigation,320-8,61,2,J Clin Invest,17854673,Roth RI|Gaubatz JW|Gotto AM|Patsch JR
3923864,Journal Article|Review,64,65,12/10/2009,ONCOLOGY,1,"Identification of peptides containing tryptophan, tyrosine, and phenylalanine using photodiode-array spectrophotometry",Analytical Biochemistry,67-72,145,1,Anal Biochem,22000670,Mao SJT|Jackson RL|Gotto AM|Sparrow JT
4350194,Journal Article|Review,77,63,8/1/2009,BIOCHEMISTRY & MOLECULAR BIOLOGY,1,Dietary aspects of hyperlipidemia,Journal of the American Dietetic Association,617-25,62,6,J Am Diet Assoc,15787366,Gotto AM
211035,Journal Article|Review,77,63,8/1/2009,BIOPHYSICS,1,Metabolism of apolipoproteins A-I and A-II and its influence on the high density lipoprotein subfraction distribution in males and females,European Journal of Clinical Investigation,115-20,8,3,Eur J Clin Invest,18139663,Lenz ML|Hughes H|Mitchell JR|Via DP|Guyton JR|Taylor AA|Gotto AM|Smith CV
6627523,Journal Article|Review,77,65,8/1/2009,ONCOLOGY,1,Esterase-type of activity possessed by human plasma apolipoprotein C-II and its synthetic fragments,Chemistry and Physics of Lipids,21-32,33,1,Chem Phys Lipids,20788976,Partanen J
1564233,Journal Article,15,12,7/17/2009,CARDIAC & CARDIOVASCULAR SYSTEMS,0,"Hyperlipidemia after heart transplantation: Report of a 6-year experience, with treatment recommendations",Journal of the American College of Cardiology,1315-21,19,6,J Am Coll Cardiol,26552691,Irwig MS|Siles X|Gotto AM J|Rifai N|Campos H
12639201,Journal Article,15,14,7/17/2009,HEMATOLOGY,1,Safety and statin therapy: Reconsidering the risks and benefits,Archives of Internal Medicine,657-9,163,6,Arch Intern Med,37463823,Gotto AM
3855661,Journal Article,15,11,7/17/2009,PERIPHERAL VASCULAR DISEASE,0,Metabolism of normal and modified low-density lipoproteins by macrophage cell lines of murine and human origin,Biochimica et Biophysica Acta (BBA)/Lipids and Lipid Metabolism,417-28,833,3,Biochim Biophys Acta,22001822,Gotto AM
5353112,"Clinical Trial, Phase II|Journal Article|Multicenter Study",101,63,6/20/2009,ONCOLOGY,1,Activation of lipoprotein lipase by native and synthetic fragments of human plasma apolipoprotein C-II,Proceedings of the National Academy of Sciences of the United States of America,4848-51,74,11,Proc Natl Acad Sci U S A,4043102703,Lambert DA|Catapano AL|Smith LC|Sparrow JT|Gotto AM
3096996,"Clinical Trial, Phase II|Journal Article",29,17,4/15/2009,ONCOLOGY,0,Apolipoprotein A-IV. A determinant for binding and uptake of high density lipoproteins by rat hepatocytes,Journal of Biological Chemistry,15714-8,261,33,J Biol Chem,22977874,Yang CY|Gu ZW|Valentinova N|Pownall HJ|Lee B|Yang M|Xie - YH|Guyton JR|Vlasik TN|Fruchart JC|Gotto AM
3158297,"Clinical Trial, Phase II|Journal Article",22,13,4/7/2009,ONCOLOGY,1,Relationship of plasma lipoprotein Lp(a) levels to race and to apolipoprotein B,Arteriosclerosis,265-72,5,3,Arteriosclerosis,21908034,Cui Y|Watson DJ|Girman CJ|Shapiro DR|Gotto AM|Hiserote P|Clearfield MB
9157952,Journal Article,64,61,2/10/2009,ONCOLOGY,0,"Effective lowering of plasma, LDL, and esterified cholesterol in LDL receptor-knockout mice by adenovirus-mediated gene delivery of ApoB mRNA editing enzyme (Apobec1)","Arteriosclerosis, Thrombosis, and Vascular Biology",889-97,17,5,Arterioscler Thromb Vasc Biol,30994487,Elghannam H|Tavackoli S|Ferlic L|Gotto AM|Ballantyne CM|Marian AJ
14998606,Journal Article|Review,11,10,4/15/2008,ONCOLOGY,1,Assessing low levels of high-density lipoprotein cholesterol as a risk factor in coronary heart disease: A working group report and update,Journal of the American College of Cardiology,717-24,43,5,J Am Coll Cardiol,1542361567,Mao SJT|Sparrow JT|Gotto AM|Jackson RL
9819097,Journal Article|Review,6,9,4/1/2008,ONCOLOGY,0,Impact of multiple risk factors on coronary artery disease: beyond total cholesterol. Introduction.,The American journal of cardiology,1Q-2Q,82,234,Am J Cardiol,32488035,Crump WL|Sherrill BC|Gotto AM|Ghiselli G
3351170,Journal Article|Review,30,16,3/1/2008,ONCOLOGY,1,Two-year follow-up of patients treated with a very-low-calorie diet and exercise training,Journal of the American Dietetic Association,487-8,88,4,J Am Diet Assoc,23929354,Jackson RL|Taunton OD|Morrisett JD|Gotto AM
4348832,Journal Article,48,46,1/10/2008,ONCOLOGY,0,Interaction of an apolipoprotein (ApoLP-Alanine) with phosphatidylcholine,Biochemistry,1290-9,12,7,Biochemistry,15937178,Gotto AM|Kornberg HL
11352996,Journal Article|Review,4,6,1/1/2008,ONCOLOGY,1,In memoriam: Robert I. Levy 1937-2000.,Journal of Lipid Research,886-7,42,5,J Lipid Res,35349031,Friedewald VE|Grundy S|Gotto AM|Haffner S|Denke MA|Hollander P|Roberts WC
11078257,"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article",48,47,1/1/2008,ONCOLOGY,1,Case 1: A patient with elevated low-density lopoprotein cholesterol,American Journal of Cardiology,131,85,1,Am J Cardiol,33983161,Ponsin G|Sparrow JT|Gotto AM|Pownall HJ
3729799,Journal Article,67,63,1/1/2008,ONCOLOGY,1,"Partially reassembled high density lipoproteins. Effects on cholesterol flux, synthesis, and esterification in normal human skin fibroblasts",Arteriosclerosis,434-41,6,4,Arteriosclerosis,22513842,Pownall HJ|Hickson D|Gotto AM
6930927,Case Reports|Journal Article,10,23,12/1/2007,ONCOLOGY,1,Activation of lipoprotein lipase by synthetic fragments of apolipoprotein C-II.,Annals of the New York Academy of Sciences,213-23,348,,Ann N Y Acad Sci,18881497,Gotto AM
1442717,"Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial",362,99,11/20/2007,ONCOLOGY,0,Postprandial lipemia: Reliability in an epidemiologic field study,American Journal of Epidemiology,538-45,136,5,Am J Epidemiol,26472117,Gotto AM
4361318,Journal Article,77,67,9/1/2007,ONCOLOGY,1,Phospholipids in biology and medicine (second of two parts).,New England Journal of Medicine,87-93,290,2,N Engl J Med,16388680,Chen SN|Ballantyne CM|Gotto AM|Marian AJ
16982953,"Clinical Trial, Phase II|Journal Article",175,95,8/10/2007,ONCOLOGY,1,Over-the-counter statins are worth considering in primary prevention of cardiovascular disease,Circulation,1310-4; discussion 1314,114,12,Circulation,33748744716,Morrisett JD|Jackson RL|Gotto AM
1931882,"Clinical Trial, Phase II|Journal Article",216,98,8/10/2007,ONCOLOGY,1,Enhanced hepatic uptake and processing of cholesterol esters from low density lipoprotein by specific lactosaminated fab fragments,"Arteriosclerosis, Thrombosis, and Vascular Biology",1806-13,11,6,Arterioscler Thromb,26346032,Gianturco SH|Gotto AM|Jackson RL|Patsch JR|Sybers HD|Taunton OD|Yeshurun DL|Smith LC
21211613,"Clinical Trial, Phase II|Journal Article",246,99,8/10/2007,ONCOLOGY,1,Relation of Different Measures of Low-Density Lipoprotein Cholesterol to Risk of Coronary Artery Disease and Death in a Meta-Regression Analysis of Large-Scale Trials of Statin Therapy,American Journal of Cardiology,1289-96,105,9,Am J Cardiol,77950935917,Gotto AM
3303569,Journal Article|Multicenter Study|Randomized Controlled Trial,3,6,8/1/2007,HEMATOLOGY,0,Hyperlipidemia following heart transplantation: Natural history and intervention with mevinolin (lovastatin),Transplantation Proceedings,60-2,19,4 SUPPL. 5,Transplant Proc,23275378,Ahmad TY|Morrisett JD|Pownall HJ|Gotto AM|Brockman HL|Sable HZ|Lewis EO|Hancock AJ
209117,Journal Article|Multicenter Study|Randomized Controlled Trial,3,3,8/1/2007,IMMUNOLOGY,0,A comparison of two methods to investigate the metabolism of human apolipoproteins A-I and A-II,Journal of Lipid Research,656-61,19,5,J Lipid Res,18149671,Gotto AM
17261403,Journal Article|Multicenter Study|Randomized Controlled Trial,3,3,8/1/2007,ONCOLOGY,0,The Editor's Roundtable: The Metabolic Syndrome,American Journal of Cardiology,382-9,99,3,Am J Cardiol,33846525592,Baker HN|Jackson RL|Gotto AM
2686455,Journal Article|Multicenter Study|Randomized Controlled Trial,3,3,8/1/2007,TRANSPLANTATION,0,The effect of triphasic oral contraceptives on plasma lipids and lipoproteins,American Journal of Obstetrics and Gynecology,1396-401,161,5,Am J Obstet Gynecol,24398192,Mowri HO|Patsch JR|Gotto AM|Patsch W
8750244,Journal Article,9,8,3/1/2007,OBSTETRICS & GYNECOLOGY,0,Effects of pravastatin in heart transplant recipients: Implications of Kobashigawa et al,Current Opinion in Lipidology,341-3,6,6,Curr Opin Lipidol,29597762,Thompson GR|Jadhav A|Nava M|Gotto AM
82567,Journal Article,9,14,3/1/2007,ONCOLOGY,1,Developing and evaluating audiovisual media for dietary education.,Journal of the American Dietetic Association,660-2,73,6,J Am Diet Assoc,18110429,Gotto AM|Levy RI|Rosenthal AS|Fredrickson DS
7572680,Journal Article,75,66,1/1/2007,ONCOLOGY,1,Extending the benefit ef lipid-reguulating therapy to primary prevention,The American Journal of Cardiology,118C-121C,76,9 SUPPL. 1,Am J Cardiol,29130093,Herrick KL|Scott LW|Weaver KJ|Foreyt JP|Gotto AM
11726974,Comment|Letter,44,17,8/20/2006,ONCOLOGY,1,"Effects of SREBF-1a and SCAP polymorphisms on plasma levels of lipids, severity, progression and regression of coronary atherosclerosis and response to therapy with fluvastatin.","Journal of molecular medicine (Berlin, Germany)",737-44,80,11,J Mol Med (Berl),1842845028,Lambert DA|Smith LC|Pownall H|Sparrow JT|Nicolas JP|Gotto AM
3095115,"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article",29,16,7/1/2006,ONCOLOGY,1,The primary structure of apolipoprotein A-I from rabbit high-density lipoprotein,European Journal of Biochemistry,427-31,160,2,Eur J Biochem,22990588,Gotto AM
3813005,Case Reports|Journal Article,2,2,5/1/2006,ONCOLOGY,0,Radioimmunoassay of rat apolipoprotein A-IV,Analytical Biochemistry,96-100,159,1,Anal Biochem,22866789,Smith LC|Voyta JC|Catapano AL|Kinnunen PK|Gotto AM|Sparrow JT
11141965,"Clinical Trial, Phase I|Clinical Trial, Phase II|Comparative Study|Journal Article",5,7,1/1/2006,OBSTETRICS & GYNECOLOGY,1,Plasma lipids and other cardiovascular risk factors in Costa Rican adolescents | Lipidos plasmaticos y otros factores de riesgo cardiovascular en adolescentes costarricenses,Revista Panamericana de Salud Publica/Pan American Journal of Public Health,234-41,8,4,Rev Panam Salud Publica,33674699,Scott DW|Gorry GA|Hoffman RG|Barboriak JJ|Gotto AM
329882,"Clinical Trial, Phase I|Clinical Trial, Phase II|Comparative Study|Journal Article",5,8,1/1/2006,ONCOLOGY,1,Lipid-protein interactions in the plasma lipoproteins,BBA - Reviews on Biomembranes,93-133,472,2,Biochim Biophys Acta,17664758,Yeshurun D|Gotto AM
8142001,Journal Article,66,66,1/1/2006,ONCOLOGY,0,Primary structure of Beijing duck apolipoprotein A-1,Journal of Protein Chemistry,585-91,12,5,J Protein Chem,27133448,Brainard JR|Knapp RD|Patsch JR|Gotto AM|Morrisett JD
16309687,Clinical Trial|Journal Article,4,3,9/1/2005,HEMATOLOGY,1,The evolution of European guidelines: Changing the management of cholesterol levels,Atherosclerosis,54-9,185,1,Atherosclerosis,30944448652,Gotto AM|Brinton EA
1402396,Clinical Trial|Journal Article,4,5,9/1/2005,IMMUNOLOGY,1,Different reactivities of high density lipoprotein2 subfractions with hepatic lipase,Journal of Lipid Research,1269-79,33,9,J Lipid Res,26707211,Chen TC|Sparrow JT|Gotto AM|Morrisett JD
391386,Clinical Trial|Journal Article,4,6,9/1/2005,ONCOLOGY,0,Opening and closing remarks at the scientific lectures,Cardiovascular Research Center Bulletin,52-5,17,3,Cardiovasc Res Cent Bull,18290296,Gotto AM|Farmer JA
3711556,Clinical Trial|Journal Article,4,7,9/1/2005,TRANSPLANTATION,1,"Diet, nutrition, and heart disease.",Journal of the American Dietetic Association,729-31,86,6,J Am Diet Assoc,22735192,Sparrow DA|Laplaud PM|Saboureau M|Zhou G|Dolphin PJ|Gotto AM|Sparrow JT
4036706,Comparative Study|Journal Article,23,15,6/15/2005,ONCOLOGY,1,The role of hydrophobicity in the structure of the human plasma lipoproteins.,Advances in Experimental Medicine and Biology,85-97,183,,Adv Exp Med Biol,21779233,Packard CJ|Shepherd J|Joerns S|Gotto AM|Taunton OD
1739745,Clinical Trial|Journal Article,52,30,6/1/2005,ONCOLOGY,1,"Plasma lipid transport in the preruminant calf, Bos spp: Primary structure of bovine apolipoprotein A-I",Biochimica et Biophysica Acta (BBA)/Lipids and Lipid Metabolism,145-50,1123,2,Biochim Biophys Acta,26500519,Hoff HF|Karagas M|Heideman CL|Gaubatz JW|Gotto AM
3968071,Journal Article|Review,70,63,9/1/2004,HEALTH CARE SCIENCES & SERVICES,1,Monoclonal antibodies against bovine milk lipoprotein lipase. Characterization of an antibody specific for the apolipoprotein C-II binding site,Journal of Biological Chemistry,893-8,260,2,J Biol Chem,21913593,Patsch JR|Soutar AK|Morrisett JD|Gotto AM|Smith LC
6860664,Journal Article|Review,70,63,9/1/2004,ONCOLOGY,1,Action of lipoprotein lipase on phospholipid monolayers. Activation by apolipoprotein C-II,Biochemistry,2270-5,22,9,Biochemistry,20628045,Overturf ML|Smith SA|Hewett-Emmett D|Loose-Mitchell DS|Soma MR|Gotto AM|Morrisett JD
7273058,Journal Article|Review,70,65,9/1/2004,REHABILITATION,1,Tissue-cultured smooth muscle cells from normal and atherosclerotic arteries,Cardiovascular Research Center Bulletin,85-9,18,4,Cardiovasc Res Cent Bull,19272730,Patsch W|Gotto AM|Patsch JR
18948435,Journal Article|Review,120,93,12/1/2003,ONCOLOGY,1,Pitavastatin suppresses mitogen activated protein kinase-mediated Erg-1 induction in human vascular smooth muscle cells,European Journal of Pharmacology,72-6,606,42007,Eur J Pharmacol,61449119630,Scott LW|Foreyt JP|Young J|Reeves RS|O'Malley MP|Gotto AM
6249173,"Clinical Trial|Clinical Trial, Phase II|Journal Article",11,10,2/1/2003,ONCOLOGY,1,Dynamics of lipid motions in high-density lipoprotein subfractions HDL2 and HDL3: magnetic resonance studies.,Annals of the New York Academy of Sciences,299-317,348,,Ann N Y Acad Sci,18846713,Guyton JR|Dahlen GH|Patsch W|Kautz JA|Gotto AM
10879416,Journal Article,12,10,9/1/2002,HEMATOLOGY,1,Air force/Texas Coronary Atherosclerosis Prevention study (AFCAPS/TexCAPS): Baseline Characteristics and comparison with USA population,Journal of Cardiovascular Risk,125-33,7,2,J Cardiovasc Risk,34123613,Pownall HJ|Gotto AM
12270864,Journal Article,12,10,9/1/2002,ONCOLOGY,1,Reducing the risk for stroke in patients with myocardial infarction: A myocardial ischemia reduction with aggressive cholesterol lowering (MIRACL) substudy,Circulation,1595-8,106,13,Circulation,37167643,Yang CY|Yang T|Pownall HJ|Gotto AM
1512508,"Clinical Trial|Clinical Trial, Phase II|Journal Article",9,14,8/1/2002,HEMATOLOGY,0,Sialic acid content of human low density lipoproteins affects their interaction with cell receptors and intracellular lipid accumulation,Journal of Lipid Research,805-17,33,6,J Lipid Res,26704625,Dvorin E|Gorder NL|Benson DM|Gotto AM
8403343,"Clinical Trial|Clinical Trial, Phase II|Journal Article",9,9,8/1/2002,IMMUNOLOGY,1,Doing the right-thing: Stop worrying about cholesterol [11],Circulation,2572-3; author reply 2573-7,90,5,Circulation,28126609,Sikand G|Kondo A|Foreyt JP|Jones PH|Gotto AM
5675632,"Clinical Trial|Clinical Trial, Phase II|Journal Article",9,9,8/1/2002,ONCOLOGY,1,Human serum beta-lipoprotein,Nature,1157-9,219,5159,Nature,14414145,Aune KC|Gallagher JG|Gotto AM|Morrisett JD
6501314,"Clinical Trial|Clinical Trial, Phase II|Journal Article",9,9,8/1/2002,TRANSPLANTATION,0,Low-density lipoprotein receptor binding determinants switch from apolipoprotein E to apolipoprotein B during conversion of hypertriglyceridemic very-low-density lipoprotein to low-density lipoproteins,Journal of Biological Chemistry,14728-35,259,23,J Biol Chem,21749667,Salek L|Lutucuta S|Ballantyne CM|Gotto AM|Marian AJ
9201004,Clinical Trial|Journal Article,102,67,8/15/2001,ONCOLOGY,1,Statin therapy and reduced incidence of stroke: Implications of cholesterol-lowering therapy for cerebrovascular disease,Archives of Internal Medicine,1283-4,157,12,Arch Intern Med,31584323,Marian AJ|Safavi F|Ferlic L|Dunn JK|Gotto AM|Ballantyne CM
218633,"Clinical Trial|Clinical Trial, Phase II|Journal Article",15,14,7/31/2001,ONCOLOGY,0,Very low density and low density lipoprotein subfractions in type III and type IV hyperlipoproteinemia Chemical and physical properties,Biochimica et Biophysica Acta (BBA)/Lipids and Lipid Metabolism,269-82,572,2,Biochim Biophys Acta,18381294,Gotto AM
7634480,"Clinical Trial|Clinical Trial, Phase II|Journal Article",15,13,7/31/2001,PHARMACOLOGY & PHARMACY,0,"Lipid lowering, regression, and coronary events: A review of the interdisciplinary council on lipids and cardiovascular risk intervention, seventh council meeting",Circulation,646-56,92,3,Circulation,29114925,Morrisett JD|David JSK|Pownall HJ|Gotto AM
6775034,Clinical Trial|Journal Article|Randomized Controlled Trial,279,99,5/15/2001,ONCOLOGY,1,The measurement of apolipoprotein A-I in human plasma by electroimmunoassay,Journal of Lipid Research,775-80,21,6,J Lipid Res,19211162,Friedewald VE J|Gotto AM J
217387,"Clinical Trial|Clinical Trial, Phase I|Journal Article",7,3,12/21/1999,CLINICAL NEUROLOGY,1,Apo B concentration in the normal human aorta,Biochemical and Biophysical Research Communications,1424-30,85,4,Biochem Biophys Res Commun,18242771,Sparrow DA|Lee BR|Laplaud PM|Auboiron S|Bauchart D|Chapman MJ|Gotto AM|Yang CY|Sparrow JT
6846379,"Clinical Trial|Clinical Trial, Phase I|Journal Article",7,4,12/21/1999,ONCOLOGY,0,Clinical diagnosis of hyperlipoproteinemia,American Journal of Medicine,234-23,74,43,Am J Med,20535975,Gotto AM|LaRosa JC
7716588,Case Reports|Journal Article,11,10,11/24/1999,ONCOLOGY,1,Hyperlipidemia: Perspectives in diagnosis and treatment,Southern Medical Journal,379-91,88,4,South Med J,28924131,Gotto AM
